source_stream_title,post_type,item_id,item_title,item_description,item_seo_title,item_seo_description,item_thumbnail_url,item_tags,item_hidden,item_published_at,author_first_name,author_last_name,item_url
Blog,post,504260405,Como não deixar um cliente VIP esperando,"Então o que acontece quando um cliente VIP faz uma pergunta fora do horário de operação e você precisa falar com seu engenheiro, que não está mais no escritório?",,,https://content.cdntwrk.com/files/aHViPTY2NjMzJmNtZD1pdGVtZWRpdG9yaW1hZ2UmZmlsZW5hbWU9aXRlbWVkaXRvcmltYWdlXzVjNzk3OTRmMDRjMTMucG5nJnZlcnNpb249MDAwMCZzaWc9ZWNjYjNhYjdlYWRkYWMxYTg2ZjI3MDBmNDVlZGMxOTA%253D,,FALSE,2019-03-01 12:00:00,,,https://recursos.zendesk.com.br/blog/como-nao-deixar-um-cliente-vip-esperando
Recursos,resource,503192471,Como escalar sua empresa com foco no atendimento ao cliente,E-book revela como as estratégias de atendimento omnichannel e customer experience estão fazendo as empresas decolarem.,,,https://content.cdntwrk.com/files/aHViPTY2NjMzJmNtZD1pdGVtZWRpdG9yaW1hZ2UmZmlsZW5hbWU9aXRlbWVkaXRvcmltYWdlXzVjNzNlYTAxZDk1MjQucG5nJnZlcnNpb249MDAwMCZzaWc9ZjdmYTUxYWI1MmQ2MDdiODBhNWE3YjhkODJmYmQ1ZTc%253D,,FALSE,2019-02-25 12:00:00,,,https://recursos.zendesk.com.br/recursos/escalar-empresa-atendimento-cliente
Recursos,resource,399094620,Preencha a lacuna do autoatendimento,Os benefícios que o Zendesk Guide oferece ao autoatendimento.,,,https://zen-marketing-pt.s3.amazonaws.com/pt/fishtank.jpg,,FALSE,2018-01-12 12:00:00,,,https://recursos.zendesk.com.br/recursos/zendesk-guide-autoatendimento
