source_stream_title,post_type,item_id,item_title,item_description,item_seo_title,item_seo_description,item_thumbnail_url,item_canonical_url,item_tags,item_hidden,item_published_at,author_first_name,author_last_name,item_url
Self Service,resource,485751548,Zendesk Support: Apps,Webinar sobre Apps de Zendesk Support.,Zendesk Support: Apps,Webinar sobre Apps de Zendesk Support.,https://content.cdntwrk.com/files/aHViPTY2NDg5JmNtZD1pdGVtZWRpdG9yaW1hZ2UmZmlsZW5hbWU9aXRlbWVkaXRvcmltYWdlXzVjMTJhOTEwYjdjYjYucG5nJnZlcnNpb249MDAwMCZzaWc9ZTY0Y2M4ZTBiMjkyYzU0ZmE1ZTUxMTQwNmI0NjJlN2I%253D,zendesk-support-apps,"Zendesk,zendesk support,Apps,tutorial",FALSE,2018-12-13 13:47:24,,,https://recursos.zendesk.com.mx/self-service/zendesk-support-apps
Self Service,resource,485756894,Zendesk Support: cómo limpiar tu cuenta,Cómo mantener tu cuenta limpia en Zendesk Support.,Zendesk Support: cómo limpiar tu cuenta,Cómo mantener tu cuenta limpia en Zendesk Support.,https://content.cdntwrk.com/files/aHViPTY2NDg5JmNtZD1pdGVtZWRpdG9yaW1hZ2UmZmlsZW5hbWU9aXRlbWVkaXRvcmltYWdlXzVjMTJhZjJjYTcwN2UucG5nJnZlcnNpb249MDAwMCZzaWc9Mzg4NzllYjFjMzMyMGNkMWMzYzA5Y2Q1ZWU5YTAwNmE%253D,zendesk-support-limpiar-tu-cuenta,"Zendesk,zendesk support",FALSE,2018-12-13 14:13:20,,,https://recursos.zendesk.com.mx/self-service/zendesk-support-limpiar-tu-cuenta
Self Service,resource,462454766,Zendesk Support: personalizando las reglas y los plazos de atención,Mira en este tutorial cómo definir tus reglas y realizar acciones programadas para cada generación de tickets en Zendesk Support.,Zendesk Support: personalizando las reglas y los plazos de atención,Mira en este tutorial cómo definir tus reglas y realizar acciones programadas para cada generación de tickets en Zendesk Support.,https://content.cdntwrk.com/files/aHViPTY2NDg5JmNtZD1pdGVtZWRpdG9yaW1hZ2UmZmlsZW5hbWU9aXRlbWVkaXRvcmltYWdlXzViOTdjZjY3Y2U1ZjMucG5nJnZlcnNpb249MDAwMCZzaWc9NWM2MzM0YWM5YjM4Y2QyNzRjYzRhNGExOWQ1YzFlZTQ%253D,zendesk-support-reglas-negocio,"zendesk support,reglas de negocio,plazos de atención,atención al cliente,Zendesk,tutorial",FALSE,2018-09-11 10:22:11,,,https://recursos.zendesk.com.mx/self-service/zendesk-support-reglas-negocio
Self Service,resource,485758826,Zendesk Support: Reglas de Negocio,Reglas de negocio en Zendesk Support.,Zendesk Support: Reglas de Negocio,Reglas de negocio en Zendesk Support.,https://content.cdntwrk.com/files/aHViPTY2NDg5JmNtZD1pdGVtZWRpdG9yaW1hZ2UmZmlsZW5hbWU9aXRlbWVkaXRvcmltYWdlXzVjMTJiMTE4MWUzMWQucG5nJnZlcnNpb249MDAwMCZzaWc9MzJhNjU4MzlkZjhkZGVlNDU0N2M0NDVkYmI0ZTVjNDA%253D,zendesk-support-reglas-de-negocio,"reglas de negocio,Zendesk,zendesk support",FALSE,2018-12-13 14:21:32,,,https://recursos.zendesk.com.mx/self-service/zendesk-support-reglas-de-negocio
Self Service,resource,485749487,Zendesk Support: SLAs,Webinar sobre SLAs en Zendesk Support.,Zendesk Support: SLAs,Webinar sobre SLAs en Zendesk Support.,https://content.cdntwrk.com/files/aHViPTY2NDg5JmNtZD1pdGVtZWRpdG9yaW1hZ2UmZmlsZW5hbWU9aXRlbWVkaXRvcmltYWdlXzVjMTJhODRmYTI5MWQucG5nJnZlcnNpb249MDAwMCZzaWc9MDU5NDVmOWJlYmJjZDY1ODc2OTI5Mzk3ODhiYmFjMjU%253D,zendesk-support-slas,"Webinar,Zendesk,zendesk support,SLAs",FALSE,2018-12-13 13:44:23,,,https://recursos.zendesk.com.mx/self-service/zendesk-support-slas
Self Service,resource,462456308,Zendesk Talk: transferencia fácil de llamadas a otro teléfono,"Mira en este tutorial qué tan fácil es, por ejemplo, transferir las llamadas de Zendesk Talk a teléfonos móviles u otros teléfonos fijos.",Zendesk Talk: transferencia fácil de llamadas a otro teléfono,"Mira en este tutorial qué tan fácil es, por ejemplo, transferir las llamadas de Zendesk Talk a teléfonos móviles u otros teléfonos fijos.",https://content.cdntwrk.com/files/aHViPTY2NDg5JmNtZD1pdGVtZWRpdG9yaW1hZ2UmZmlsZW5hbWU9aXRlbWVkaXRvcmltYWdlXzViOTdkMDUwZGY3NjMucG5nJnZlcnNpb249MDAwMCZzaWc9MzA3YTdlYjVkOTRhZmY4OTNhNTIxM2NhMDczNmViNzI%253D,zendesk-talk-transferencia-llamadas,"Zendesk Talk,Talk,Zendesk,llamadas,transferencia de llamadas,tutorial",FALSE,2018-09-11 10:26:03,,,https://recursos.zendesk.com.mx/self-service/zendesk-talk-transferencia-llamadas
Self Service,resource,398361017,Zendesk: overview y demo (subtitulada),Demonstración geral de Zendesk. Subtitulada en Español.,Zendesk: overview y demo,Demonstración geral de Zendesk. Subtitulada en Español.,https://content.cdntwrk.com/files/aHViPTY2NjMzJmNtZD1pdGVtZWRpdG9yaW1hZ2UmZmlsZW5hbWU9aXRlbWVkaXRvcmltYWdlXzVhMmQ0ZjY4ODQxOTgucG5nJnZlcnNpb249MDAwMCZzaWc9YzkxYjkzZGM1M2RmZGRlOWFmZGJmMWI5MTgzMGZkNzY%253D,zendesk-overview-y-demo,"Zendesk,overview,demonstración,demo,software",FALSE,2018-01-09 14:52:26,,,https://recursos.zendesk.com.mx/self-service/zendesk-overview-y-demo
Zendesk Blog,post,372063282,#7 Tendencias del sector minorista que impactan el servicio de atención al cliente,Principales tendencias del sector minorista nacen de la transformación digital y la relación con el cliente nunca antes fue tan estratégica.,,Principales tendencias del sector minorista nacen de la transformación digital y la relación con el cliente nunca antes fue tan estratégica.,https://content.cdntwrk.com/files/aHViPTY2NDg5JmNtZD1pdGVtZWRpdG9yaW1hZ2UmZmlsZW5hbWU9aXRlbWVkaXRvcmltYWdlXzU5ZDUxZmQ4ZDA4ZjMucG5nJnZlcnNpb249MDAwMCZzaWc9OGMzZjJhZDhjMWVmMDg5OWU1YTkwOWE2MmNjMTA1YjQ%253D,,"#7Tendencias,#RelaciónConElCliente,#AtenciónAlCliente,#TransformacionDigital,#SectorMinorista,#Zendesk",FALSE,2017-10-04 13:58:38,,,https://recursos.zendesk.com.mx/blog/7-tendencias-del-sector-minorista-que-impactan-el-servicio-de-atención-al-cliente
Zendesk Blog,post,426896817,10 libros para mejorar la experiencia del cliente en 2018,La experiencia del cliente se puede mejorar constantemente. Y estos son 10 libros que creemos en Zendesk que pueden ayudarte.,10 libros para mejorar la experiencia del cliente según Zendesk,La experiencia del cliente se puede mejorar constantemente. Y estos son 10 libros que creemos en Zendesk que pueden ayudarte.,https://content.cdntwrk.com/files/aHViPTY2NDg5JmNtZD1pdGVtZWRpdG9yaW1hZ2UmZmlsZW5hbWU9aXRlbWVkaXRvcmltYWdlXzVhZGE1ZWI5OGU1N2QucG5nJnZlcnNpb249MDAwMCZzaWc9MzQ0N2ZiMWQwZTBiMzViNTVlZGU2YmJmMjFkNjk4YzE%253D,10-libros-para-mejorar-la-experiencia-del-cliente-en-2018,"Zendesk,atención al cliente,atención,cliente,experiencia del cliente,servicio al cliente,servicio,libro",FALSE,2018-04-20 17:43:23,,,https://recursos.zendesk.com.mx/blog/10-libros-para-mejorar-la-experiencia-del-cliente-en-2018
Zendesk Blog,post,366672746,3 Lecciones del Big Show (NRF) de comercio minorista en Nueva York,,,,https://content.cdntwrk.com/files/aHViPTY2NDg5JmNtZD1pdGVtZWRpdG9yaW1hZ2UmZmlsZW5hbWU9aXRlbWVkaXRvcmltYWdlXzVhMTMxYTBkMzI0MjYuanBnJnZlcnNpb249MDAwMCZzaWc9MzJmM2YxYjg5ZWE3YWExY2IwMmVlNGQ1OWMxMDU0Yjg%253D,,,FALSE,2017-09-14 17:49:54,,,https://recursos.zendesk.com.mx/blog/3-lecciones-del-big-show-de-comercio-minorista-en-nueva-york-2
