source_stream_title,post_type,item_id,item_title,item_description,item_seo_title,item_seo_description,item_thumbnail_url,item_tags,item_hidden,item_published_at,author_first_name,author_last_name,item_url
Historias de Clientes ,customer_lp,398431991,99,"Conheça a história de sucesso da 99, primeira Start up unicórnio brasileira.","Conheça a história de sucesso da Zendesk com a 99, primeira Start up unicórnio brasileira","Desde o início das suas operações no Brasil a 99, primeira Start up unicórnio brasileira, confiou na Zendesk para ser o software de ticket e software de chat que eles precisavam para crescer.",https://content.cdntwrk.com/files/aHViPTY2NjMzJmNtZD1pdGVtZWRpdG9yaW1hZ2UmZmlsZW5hbWU9aXRlbWVkaXRvcmltYWdlXzVhNTU2ZTlmYjIxYjMucG5nJnZlcnNpb249MDAwMCZzaWc9YzM1MjUyYmRkZGRiMWMyMmJkNTkyYzk3Nzc3NmEwOTQ%253D,,FALSE,2018-01-09 20:25:08,,,https://recursos.zendesk.com.br/história-de-clientes/99
Historias de Clientes ,customer_lp,429695025,99designs,A 99designs substituiu 3 sistemas pela solução omnichannel da Zendesk,A 99designs substituiu 3 sistemas pela solução omnichannel da Zendesk,A 99designs substituiu 3 sistemas pela solução omnichannel da Zendesk,https://content.cdntwrk.com/files/aHViPTY2NjMzJmNtZD1pdGVtZWRpdG9yaW1hZ2UmZmlsZW5hbWU9aXRlbWVkaXRvcmltYWdlXzVhZTc4NjY1ZTkwMTUuanBnJnZlcnNpb249MDAwMCZzaWc9YmNjNGYzNGI3NjM1ZmNlOTQyYWE1OWI3NWI0MWQ1YTg%253D,"Zendesk,99designs",FALSE,2018-04-30 17:08:12,,,https://recursos.zendesk.com.br/história-de-clientes/99designs-2
Historias de Clientes ,customer_lp,431615216,Airbnb,Aprenda como o Airbnb cresceu com a Zendesk e como seus milhares de agentes agora atendem a milhões de clientes no mundo todo por uma interface personalizada.,Airbnb,Aprenda como o Airbnb cresceu com a Zendesk e como seus milhares de agentes agora atendem a milhões de clientes no mundo todo por uma interface personalizada.,https://content.cdntwrk.com/files/aHViPTY2NjMzJmNtZD1pdGVtZWRpdG9yaW1hZ2UmZmlsZW5hbWU9aXRlbWVkaXRvcmltYWdlXzVhZjA5ODJjYTFhMzUucG5nJnZlcnNpb249MDAwMCZzaWc9M2I2MGFiYzJkYmE2ZDQyZjUyOGU3Nzk3NDgzOTZjZjk%253D,"Airbnb,Zendesk,Customer Case,customer success",FALSE,2018-05-07 14:19:15,,,https://recursos.zendesk.com.br/história-de-clientes/airbnb-3
Historias de Clientes ,customer_lp,398430383,Buscapé,Saiba como a Buscapé utiliza as soluções da Zendesk para gerenciar projetos do seu time de web developers.,História de Clientes - Buscapé,Saiba como a Buscapé utiliza o software de ticket da Zendesk para gerenciar projetos do seu time de web developers.,https://content.cdntwrk.com/files/aHViPTY2NjMzJmNtZD1pdGVtZWRpdG9yaW1hZ2UmZmlsZW5hbWU9aXRlbWVkaXRvcmltYWdlXzVhNTU2OThjMTQxMTQuanBnJnZlcnNpb249MDAwMCZzaWc9MTVmZDQ5YWFiZjVmMjhhMzAwZWU2MDg2ODExNWU3MWU%253D,,FALSE,2018-01-09 20:13:17,,,https://recursos.zendesk.com.br/história-de-clientes/buscapé
Historias de Clientes ,customer_lp,389297797,Cleverbridge,"Já mergulhada nessa época movimentadíssima, a cleverbridge queria colocar o novo software para funcionar antes da correria de fim de ano.",Cleverbridge,"Já mergulhada nessa época movimentadíssima, a cleverbridge queria colocar o novo software para funcionar antes da correria de fim de ano.",https://content.cdntwrk.com/files/aHViPTY2NjMzJmNtZD1pdGVtZWRpdG9yaW1hZ2UmZmlsZW5hbWU9aXRlbWVkaXRvcmltYWdlXzVhMjkzYTAxMjIyMTUuanBnJnZlcnNpb249MDAwMCZzaWc9NTRjZWVhODkwMDRkMzU3ZGU5MjY2ZWJmODU5YjRkNTU%253D,"Cleverbridge,Customer Case,histórias de clientes",FALSE,2017-12-07 7:54:59,,,https://recursos.zendesk.com.br/história-de-clientes/cleverbridge-2
Historias de Clientes ,customer_lp,471385826,Contabilizei,Startup de serviços contábeis faz da experiência ao cliente uma estratégia de crescimento,Contabilizei: faz da experiência ao cliente uma estratégia de crescimento,Startup de serviços contábeis faz da experiência ao cliente uma estratégia de crescimento,https://content.cdntwrk.com/files/aHViPTY2NjMzJmNtZD1pdGVtZWRpdG9yaW1hZ2UmZmlsZW5hbWU9aXRlbWVkaXRvcmltYWdlXzViYzVlZWRlYjJkODYucG5nJnZlcnNpb249MDAwMCZzaWc9Y2Q1NGE1Mjg3NTFhZDIxNWU2NWQ2Y2Q3MTBhMzNmMjI%253D,"serviços contábeis,experiência ao cliente,startup,contabilizei",FALSE,2018-10-16 10:01:03,Daniella,De Caprio,https://recursos.zendesk.com.br/história-de-clientes/contabilizei-startup-de-servicos-contabeis-experiencia-ao-cliente-estrategia-de-crescimento
Historias de Clientes ,customer_lp,435675809,Descomplica alcança excelência no atendimento aos alunos com a Zendesk,"A Descomplica investe na excelência do seu atendimento com a missão de oferecer uma boa experiência e interações mais claras, através do Zendesk",Descomplica alcança excelência no atendimento aos alunos com a Zendesk,"A Descomplica investe na excelência do seu atendimento com a missão de oferecer uma boa experiência e interações mais claras, através do Zendesk",https://content.cdntwrk.com/files/aHViPTY2NjMzJmNtZD1pdGVtZWRpdG9yaW1hZ2UmZmlsZW5hbWU9aXRlbWVkaXRvcmltYWdlXzViMDMwMGZkNDczODIucG5nJnZlcnNpb249MDAwMCZzaWc9MGIyODM5YjU1N2NjOTMzMWIxMmFiOWMzNjAxZjJmZGU%253D,"Zendesk,Descomplica,história de sucesso,histórias de clientes,customer success,Atenção ao cliente,software,software de atendimento",FALSE,2018-05-21 13:30:38,,,https://recursos.zendesk.com.br/história-de-clientes/descomplica-alcanca-excelencia-no-atendimento-aos-alunos-com-a-zendesk
Historias de Clientes ,customer_lp,480098090,Dollar Shave Club,A Dollar Shave Club diminui os custos do atendimento com o Answer Bot,Dollar Shave Club,A Dollar Shave Club diminui os custos do atendimento com o Answer Bot,https://content.cdntwrk.com/files/aHViPTY2NjMzJmNtZD1pdGVtZWRpdG9yaW1hZ2UmZmlsZW5hbWU9aXRlbWVkaXRvcmltYWdlXzViZjQwNjNmMTY0NTQuanBnJnZlcnNpb249MDAwMCZzaWc9ODQwZTNkNzBlMDc3NWExN2ExZWM4ZDE3NWYyMzk4YTk%253D,"américas,Chat,Guide,Support,internet,varejo,comercio electronico,dispositivos moveis",FALSE,2018-11-20 8:04:43,Daniella,De Caprio,https://recursos.zendesk.com.br/história-de-clientes/dollar-shave-club
Historias de Clientes ,customer_lp,390781641,Easy Taxi,Easy Taxi explica a visão da empresa sobre o serviço de atendimento ao cliente e como eles utilizam a plataforma omnichannel de atendimento da Zendesk.,Easy Taxi,Easy Taxi explica a visão da empresa sobre o serviço de atendimento ao cliente e como eles utilizam a plataforma omnichannel de atendimento da Zendesk.,https://content.cdntwrk.com/files/aHViPTY2NjMzJmNtZD1pdGVtZWRpdG9yaW1hZ2UmZmlsZW5hbWU9aXRlbWVkaXRvcmltYWdlXzVhMzAxZjM2YWQyNWIuanBlZyZ2ZXJzaW9uPTAwMDAmc2lnPTNiYzEyZGNhZTViZDc1ODMzZmJkYTVmOWEyMzY4NmZl,"Easy Taxi,EasyTaxi,atendimento ao cliente,Zendesk,Customer Story,Customer Case,histórias de clientes",FALSE,2017-12-12 13:26:52,,,https://recursos.zendesk.com.br/história-de-clientes/easy-taxi
Historias de Clientes ,customer_lp,429698712,Ebates,A Ebates obteve um score de CSAT de 93% com a solução omnichannel da Zendesk,A Ebates obteve um score de CSAT de 93% com a solução omnichannel da Zendesk,A Ebates obteve um score de CSAT de 93% com a solução omnichannel da Zendesk,https://content.cdntwrk.com/files/aHViPTY2NjMzJmNtZD1pdGVtZWRpdG9yaW1hZ2UmZmlsZW5hbWU9aXRlbWVkaXRvcmltYWdlXzVhZTc4ZTc0Y2UyMDAuanBnJnZlcnNpb249MDAwMCZzaWc9Y2IxZTRjZDgwNDU2ODM3MTdkNDM0YWM5ZjUxMjk1Nzg%253D,"Zendesk,Ebates",FALSE,2018-04-30 17:46:21,,,https://recursos.zendesk.com.br/história-de-clientes/ebates-2
